idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
23702,-6.470,-14.694,49.361,-2133180.000,2133139.361,3.670,3.741,3.995,-422.885,-0.941,-0.422
23703,-6.799,-12.939,49.362,-2133270.000,2133229.362,3.562,3.396,1.816,-442.511,-0.804,-0.403
23704,-6.799,-12.830,49.362,-2133360.000,2133319.362,3.449,3.214,2.724,-461.545,-0.772,-0.381
23705,-6.799,-12.830,49.363,-2133450.000,2133409.363,3.331,3.033,2.361,-479.960,-0.746,-0.360
23706,-6.799,-13.159,49.363,-2133540.000,2133499.363,3.209,2.887,1.816,-497.731,-0.737,-0.343
23707,-7.018,-12.830,49.364,-2133630.000,2133589.364,3.082,2.669,1.816,-514.833,-0.690,-0.327
23708,-7.237,-12.939,49.364,-2133720.000,2133679.364,2.951,2.488,1.816,-531.243,-0.666,-0.314
23709,-7.237,-13.488,49.365,-2133810.000,2133769.365,2.816,2.361,1.634,-546.936,-0.663,-0.298
23710,-7.347,-13.378,49.365,-2133900.000,2133859.365,2.678,2.161,1.453,-561.892,-0.625,-0.277
23711,-7.566,-14.036,49.365,-2133990.000,2133949.365,2.536,2.034,0.908,-576.088,-0.621,-0.269
23712,-7.566,-13.049,49.365,-2134080.000,2134039.365,2.390,1.743,1.090,-589.506,-0.544,-0.230
23713,-7.895,-13.707,49.366,-2134170.000,2134129.366,2.241,1.616,0.545,-602.126,-0.536,-0.223
23714,-7.895,-13.707,49.366,-2134260.000,2134219.366,2.089,1.435,0.908,-613.930,-0.500,-0.198
23715,-7.895,-13.707,49.366,-2134350.000,2134309.366,1.934,1.235,0.363,-624.901,-0.463,-0.170
23716,-8.005,-13.926,49.366,-2134440.000,2134399.366,1.776,1.071,0.182,-635.024,-0.432,-0.150
23717,-8.115,-14.036,49.366,-2134530.000,2134489.366,1.617,0.890,-0.000,-644.284,-0.396,-0.126
23718,-8.115,-13.926,49.366,-2134620.000,2134579.366,1.454,0.690,-0.182,-652.667,-0.354,-0.098
23719,-8.005,-13.707,49.366,-2134710.000,2134669.366,1.290,0.472,-0.545,-660.162,-0.309,-0.066
23720,-8.115,-13.707,49.366,-2134800.000,2134759.366,1.124,0.291,-0.363,-666.757,-0.269,-0.041
23721,-8.224,-13.926,49.366,-2134890.000,2134849.366,0.957,0.127,-0.726,-672.442,-0.233,-0.018
23722,-8.444,-14.584,49.365,-2134980.000,2134939.365,0.788,0.000,-0.726,-677.209,-0.201,-0.000
23723,-8.444,-13.597,49.365,-2135070.000,2135029.365,0.618,-0.272,-1.634,-681.050,-0.147,0.040
23724,-8.553,-13.597,49.365,-2135160.000,2135119.365,0.448,-0.454,-0.908,-683.960,-0.106,0.068
23725,-8.663,-13.597,49.364,-2135250.000,2135209.364,0.277,-0.636,-1.453,-685.933,-0.066,0.096
23726,-8.772,-13.488,49.364,-2135340.000,2135299.364,0.105,-0.817,-1.634,-686.966,-0.025,0.125
23727,-8.444,-13.817,49.364,-2135430.000,2135389.364,-0.067,-0.962,-1.453,-687.057,0.016,0.142
23728,-8.444,-13.817,49.363,-2135520.000,2135479.363,-0.239,-1.126,-1.816,-686.205,0.058,0.166
23729,-8.992,-13.817,49.363,-2135610.000,2135569.363,-0.410,-1.289,-2.179,-684.409,0.099,0.202
23730,-9.101,-13.597,49.362,-2135700.000,2135659.362,-0.581,-1.471,-2.179,-681.672,0.138,0.234
23731,-9.101,-13.597,49.361,-2135790.000,2135749.361,-0.751,-1.634,-2.361,-677.997,0.178,0.260
23732,-9.101,-13.817,49.361,-2135880.000,2135839.361,-0.920,-1.761,-1.998,-673.387,0.222,0.280
23733,-9.211,-14.255,49.360,-2135970.000,2135929.360,-1.087,-1.870,-2.724,-667.849,0.271,0.301
23734,-9.430,-14.584,49.360,-2136060.000,2136019.360,-1.253,-1.979,-1.998,-661.389,0.319,0.326
23735,-9.540,-14.146,49.359,-2136150.000,2136109.359,-1.418,-2.161,-3.269,-654.015,0.350,0.360
23736,-9.540,-15.571,49.359,-2136240.000,2136199.359,-1.580,-2.161,-0.000,-645.736,0.429,0.360
23737,-10.198,-6.689,49.353,-2136330.000,2136289.353,-1.741,-3.160,-25.423,-636.563,0.203,0.562
23738,-10.198,-8.882,49.353,-2136420.000,2136379.353,-1.899,-3.069,0.000,-626.509,0.294,0.546
23739,-10.417,-6.360,49.351,-2136510.000,2136469.351,-2.054,-3.432,-5.629,-615.585,0.228,0.624
23740,-10.088,-7.895,49.350,-2136600.000,2136559.350,-2.206,-3.396,-2.905,-603.807,0.304,0.598
23741,-9.869,-7.566,49.349,-2136690.000,2136649.349,-2.356,-3.541,-4.358,-591.189,0.311,0.610
23742,-9.759,-7.457,49.348,-2136780.000,2136739.348,-2.502,-3.650,-4.540,-577.749,0.326,0.622
23743,-9.211,-7.347,49.347,-2136870.000,2136829.347,-2.645,-3.759,-3.632,-563.504,0.339,0.604
23744,-8.553,-7.457,49.346,-2136960.000,2136919.346,-2.784,-3.832,-4.177,-548.473,0.362,0.572
23745,-8.115,-7.237,49.345,-2137050.000,2137009.345,-2.919,-3.941,-4.721,-532.677,0.369,0.558
23746,-7.786,-6.141,49.344,-2137140.000,2137099.344,-3.050,-4.122,-4.721,-516.136,0.327,0.560
23747,-7.676,-5.702,49.343,-2137230.000,2137189.343,-3.177,-4.231,-5.085,-498.874,0.316,0.567
23748,-7.676,-5.044,49.342,-2137320.000,2137279.342,-3.299,-4.358,-3.813,-480.912,0.290,0.584
23749,-7.347,-6.141,49.340,-2137410.000,2137369.340,-3.417,-4.304,-5.085,-462.275,0.366,0.552
23750,-7.128,-6.141,49.340,-2137500.000,2137459.340,-3.530,-4.358,-3.450,-442.990,0.378,0.542
23751,-6.689,-5.044,49.338,-2137590.000,2137549.338,-3.639,-4.503,-5.811,-423.081,0.320,0.526
23752,-6.360,-4.606,49.337,-2137680.000,2137639.337,-3.742,-4.576,-5.266,-402.576,0.301,0.508
23753,-6.250,-3.290,49.335,-2137770.000,2137729.335,-3.840,-4.740,-5.266,-381.502,0.220,0.517
23754,-6.031,-3.509,49.334,-2137860.000,2137819.334,-3.932,-4.740,-4.177,-359.890,0.241,0.499
23755,-6.031,-3.070,49.333,-2137950.000,2137909.333,-4.020,-4.794,-5.266,-337.767,0.215,0.505
23756,-5.921,-2.412,49.332,-2138040.000,2137999.332,-4.101,-4.867,-5.448,-315.165,0.173,0.503
23757,-5.702,-3.290,49.331,-2138130.000,2138089.331,-4.177,-4.776,-4.177,-292.115,0.240,0.475
23758,-5.483,-1.535,49.329,-2138220.000,2138179.329,-4.247,-4.939,-5.448,-268.647,0.114,0.473
23759,-5.154,-2.632,49.328,-2138310.000,2138269.328,-4.312,-4.812,-3.813,-244.795,0.198,0.433
23760,-4.825,1.316,49.327,-2138400.000,2138359.327,-4.370,-5.194,-7.264,-220.592,-0.100,0.437
23761,-4.606,-0.439,49.326,-2138490.000,2138449.326,-4.422,-4.976,-3.632,-196.070,0.034,0.400
23762,-4.386,0.000,49.324,-2138580.000,2138539.324,-4.468,-4.994,-5.448,-171.264,-0.000,0.382
23763,-4.057,0.768,49.323,-2138670.000,2138629.323,-4.507,-5.030,-5.629,-146.208,-0.060,0.356
23764,-3.728,1.316,49.322,-2138760.000,2138719.322,-4.541,-5.030,-4.177,-120.937,-0.104,0.327
23765,-3.399,1.535,49.321,-2138850.000,2138809.321,-4.568,-4.994,-4.903,-95.486,-0.122,0.296
23766,-3.180,1.974,49.319,-2138940.000,2138899.319,-4.589,-4.976,-5.266,-69.890,-0.158,0.276
23767,-2.851,4.057,49.318,-2139030.000,2138989.318,-4.603,-5.103,-5.448,-44.186,-0.326,0.254
23768,-2.522,4.606,49.317,-2139120.000,2139079.317,-4.611,-5.085,-5.266,-18.408,-0.371,0.224
23769,-2.083,5.921,49.316,-2139210.000,2139169.316,-4.612,-5.121,-4.177,7.407,-0.477,0.186
23770,-1.864,4.935,49.314,-2139300.000,2139259.314,-4.607,-4.939,-5.448,33.223,-0.397,0.161
23771,-1.754,5.592,49.313,-2139390.000,2139349.313,-4.595,-4.903,-3.269,59.004,-0.449,0.150
23772,-1.316,7.018,49.312,-2139480.000,2139439.312,-4.577,-4.939,-5.811,84.713,-0.561,0.113
23773,-0.548,7.566,49.311,-2139570.000,2139529.311,-4.553,-4.885,-5.085,110.315,-0.601,0.047
23774,-0.110,9.540,49.309,-2139660.000,2139619.309,-4.522,-4.957,-4.903,135.774,-0.753,0.009
23775,0.110,9.650,49.309,-2139750.000,2139709.309,-4.485,-4.849,-3.813,161.053,-0.755,-0.009
23776,0.548,10.746,49.307,-2139840.000,2139799.307,-4.442,-4.830,-5.085,186.118,-0.833,-0.046
23777,0.987,11.185,49.306,-2139930.000,2139889.306,-4.392,-4.740,-4.540,210.932,-0.857,-0.082
23778,1.316,10.966,49.305,-2140020.000,2139979.305,-4.336,-4.576,-3.632,235.460,-0.830,-0.105
23779,1.864,12.720,49.304,-2140110.000,2140069.304,-4.274,-4.612,-4.540,259.669,-0.949,-0.150
23780,2.412,11.624,49.303,-2140200.000,2140159.303,-4.207,-4.358,-2.905,283.523,-0.853,-0.184
23781,2.961,15.462,49.302,-2140290.000,2140249.302,-4.133,-4.576,-5.448,306.989,-1.115,-0.236
23782,3.509,13.926,49.301,-2140380.000,2140339.301,-4.053,-4.267,-2.724,330.032,-0.985,-0.261
23783,3.838,14.365,49.300,-2140470.000,2140429.300,-3.968,-4.158,-3.995,352.622,-0.995,-0.279
23784,4.386,15.023,49.299,-2140560.000,2140519.299,-3.877,-4.050,-3.813,374.724,-1.016,-0.310
23785,4.935,15.571,49.299,-2140650.000,2140609.299,-3.780,-3.941,-2.724,396.308,-1.027,-0.339
23786,5.373,15.352,49.298,-2140740.000,2140699.298,-3.679,-3.741,-3.087,417.343,-0.986,-0.351
23787,7.347,6.470,49.294,-2140830.000,2140789.294,-3.572,-2.706,-17.433,437.798,-0.403,-0.347
23788,7.457,8.334,49.294,-2140920.000,2140879.294,-3.460,-2.706,-0.000,457.644,-0.503,-0.352
23789,7.786,8.115,49.293,-2141010.000,2140969.293,-3.343,-2.506,-1.816,476.852,-0.473,-0.341
23790,8.115,8.882,49.293,-2141100.000,2141059.293,-3.221,-2.397,-1.634,495.396,-0.499,-0.339
23791,8.115,8.553,49.292,-2141190.000,2141149.292,-3.095,-2.179,-0.908,513.247,-0.462,-0.309
23792,7.457,8.444,49.292,-2141280.000,2141239.292,-2.965,-1.979,-1.271,530.381,-0.437,-0.258
23793,6.908,8.334,49.292,-2141370.000,2141329.292,-2.830,-1.780,-1.090,546.771,-0.412,-0.215
