idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
38542,-0.219,-186.087,-0.001,0.005,-0.007,-2.462,4.463,4.120,-4792.715,7.996,-0.017
38543,-0.110,-161.853,-0.001,0.005,-0.006,-3.580,3.090,-0.000,-4103.523,10.113,-0.006
38544,0.000,-129.175,-0.001,0.004,-0.005,-4.496,1.717,1.373,-3182.275,10.136,0.000
38545,0.110,-100.335,0.001,0.002,-0.002,-5.158,3.433,8.240,-2080.826,9.032,0.007
38546,0.110,-59.214,0.002,0.001,-0.000,-5.528,3.090,2.747,-861.280,5.713,0.006
38547,0.219,-11.404,0.001,-0.000,-0.000,-5.586,1.717,-5.493,407.507,1.112,0.007
38548,0.219,29.059,0.002,-0.002,0.002,-5.328,2.403,4.120,1653.812,-2.702,0.009
38549,0.329,72.154,0.003,-0.003,0.005,-4.769,1.717,5.493,2807.096,-6.006,0.010
38550,0.329,119.635,0.001,-0.004,0.004,-3.940,-1.373,-9.613,3802.003,-8.227,-0.008
38551,0.439,140.031,0.002,-0.005,0.006,-2.888,1.373,5.493,4582.064,-7.057,0.011
38552,0.439,170.186,0.001,-0.006,0.006,-1.672,-1.030,-5.493,5102.914,-4.965,-0.008
38553,0.439,192.118,-0.001,-0.006,0.005,-0.361,-3.777,-5.493,5334.823,-1.210,-0.029
38554,0.439,176.327,0.002,-0.006,0.008,0.970,1.373,10.986,5264.406,2.986,0.011
38555,0.219,183.894,-0.001,-0.005,0.005,2.247,-3.090,-12.360,4895.408,7.211,-0.012
38556,0.110,159.988,-0.001,-0.005,0.005,3.396,-1.373,1.373,4248.515,9.482,-0.003
38557,0.000,132.136,-0.002,-0.004,0.003,4.352,-1.030,-4.120,3360.213,10.037,-0.000
38558,-0.219,108.560,-0.002,-0.003,0.002,5.062,-4.120,-1.373,2280.737,9.590,0.016
38559,-0.439,63.381,-0.003,-0.001,-0.001,5.484,-2.403,-5.493,1071.239,6.066,0.018
38560,-0.548,24.344,-0.004,0.000,-0.003,5.594,-3.433,-2.747,-199.665,2.377,0.033
38561,-0.768,-25.002,-0.003,0.002,-0.004,5.387,-1.717,2.747,-1459.787,-2.351,0.023
38562,-0.768,-61.627,-0.005,0.003,-0.007,4.873,-3.090,-6.866,-2637.467,-5.241,0.041
38563,-0.877,-110.095,-0.003,0.004,-0.006,4.082,0.000,8.240,-3665.645,-7.844,-0.000
38564,-0.768,-141.128,-0.004,0.005,-0.008,3.059,0.000,-4.120,-4485.691,-7.535,-0.000
38565,-0.768,-164.375,-0.004,0.006,-0.009,1.862,0.000,-0.000,-5050.751,-5.342,-0.000
38566,-0.658,-192.776,-0.001,0.006,-0.007,0.559,4.120,12.360,-5328.434,-1.879,-0.047
38567,-0.439,-185.758,-0.002,0.006,-0.008,-0.777,1.030,-4.120,-5302.686,2.518,-0.008
38568,-0.329,-186.196,-0.001,0.005,-0.007,-2.068,3.090,4.120,-4974.722,6.720,-0.018
38569,-0.110,-169.529,-0.001,0.005,-0.006,-3.241,3.090,-0.000,-4362.992,9.590,-0.006
38570,0.000,-138.057,0.000,0.004,-0.004,-4.230,1.373,5.493,-3502.151,10.192,0.000
38571,0.000,-109.437,0.001,0.003,-0.003,-4.977,2.747,1.373,-2441.109,9.507,0.000
38572,0.110,-69.303,0.001,0.001,-0.001,-5.441,2.403,2.747,-1240.261,6.581,0.005
38573,0.110,-18.093,-0.001,-0.000,-0.002,-5.593,0.000,-8.240,31.939,1.766,0.000
38574,0.219,25.221,0.000,-0.001,0.000,-5.427,0.000,4.120,1302.884,-2.389,0.000
38575,0.219,58.776,0.003,-0.003,0.004,-4.950,2.403,10.986,2499.947,-5.078,0.009
38576,0.329,105.709,0.001,-0.004,0.003,-4.191,0.000,-9.613,3554.639,-7.731,0.000
38577,0.439,128.407,0.002,-0.005,0.006,-3.191,2.747,5.493,4406.529,-7.152,0.021
38578,0.439,156.260,0.002,-0.005,0.007,-2.010,1.717,0.000,5006.718,-5.480,0.013
38579,0.439,185.538,0.001,-0.006,0.006,-0.713,-2.403,-5.493,5320.649,-2.308,-0.018
38580,0.439,188.389,-0.001,-0.006,0.005,0.625,-1.717,-6.866,5330.113,2.055,-0.013
38581,0.329,187.512,-0.001,-0.005,0.005,1.927,-3.090,-0.000,5034.317,6.307,-0.018
38582,0.219,170.515,-0.001,-0.005,0.005,3.119,-2.747,1.373,4449.957,9.282,-0.011
38583,0.000,144.527,-0.002,-0.004,0.003,4.132,-2.403,-4.120,3610.287,10.423,-0.000
38584,-0.110,107.024,-0.002,-0.003,0.002,4.908,-1.030,-1.373,2563.241,9.168,0.002
38585,-0.329,64.697,-0.002,-0.001,0.001,5.403,0.000,1.373,1368.703,6.101,-0.000
38586,-0.548,34.322,-0.004,-0.000,-0.003,5.588,-3.433,-9.613,95.096,3.347,0.033
38587,-0.658,-15.352,-0.003,0.001,-0.003,5.452,-1.717,2.747,-1184.538,-1.461,0.020
38588,-0.768,-56.692,-0.004,0.003,-0.005,5.004,-2.060,-2.747,-2396.723,-4.951,0.028
38589,-0.768,-94.524,-0.004,0.004,-0.007,4.267,-2.403,-0.000,-3471.770,-7.040,0.032
38590,-0.768,-135.645,-0.004,0.005,-0.008,3.286,0.000,-1.373,-4347.785,-7.779,-0.000
38591,-0.768,-160.975,-0.004,0.005,-0.008,2.115,0.000,2.747,-4974.243,-5.944,-0.000
38592,-0.658,-176.766,-0.004,0.006,-0.010,0.823,0.000,-2.747,-5314.911,-2.540,-0.000
38593,-0.439,-182.797,-0.003,0.006,-0.009,-0.516,0.000,4.120,-5349.952,1.647,-0.000
38594,-0.329,-177.862,-0.004,0.005,-0.010,-1.826,0.000,-1.373,-5077.099,5.669,-0.000
38595,-0.219,-162.949,-0.003,0.005,-0.009,-3.031,0.000,1.373,-4511.806,8.620,-0.000
38596,-0.110,-155.493,0.000,0.004,-0.005,-4.061,4.807,15.106,-3686.393,11.022,-0.009
38597,0.000,-115.797,-0.001,0.003,-0.005,-4.858,2.747,-4.120,-2648.204,9.818,0.000
38598,0.110,-83.229,0.001,0.002,-0.002,-5.375,4.463,5.493,-1456.906,7.807,0.009
38599,0.219,-38.380,0.000,0.000,-0.001,-5.581,3.777,-1.373,-181.067,3.739,0.014
38600,0.219,12.281,0.002,-0.001,0.002,-5.466,1.717,6.866,1105.786,-1.172,0.007
38601,0.219,61.407,0.000,-0.002,0.001,-5.036,0.000,-8.240,2329.403,-5.397,0.000
38602,0.329,100.664,0.001,-0.004,0.003,-4.315,0.000,2.747,3419.094,-7.581,0.000
38603,0.329,128.188,0.002,-0.005,0.006,-3.344,1.717,5.493,4311.819,-7.482,0.010
